,subject,repeats,session,recalled,adj_rec
86,LTP443,3,9,0.9758632920354627,0.999302009470311
87,LTP444,1,0,0.8647435897435898,0.6999309762695747
88,LTP444,2,0,0.9356554967666079,0.8458390520690412
89,LTP444,3,0,0.9819601625151572,0.9206598632811641
90,LTP444,1,1,0.9262820512820512,0.7614694378080361
91,LTP444,2,1,1.0,0.9101835553024333
92,LTP444,3,1,0.9867686190785606,0.9254683198445676
93,LTP444,1,2,0.9853333333333333,0.8205207198593182
94,LTP444,2,2,0.9534097589653145,0.8635933142677479
95,LTP444,3,2,0.9809894968133702,0.9196891975793772
96,LTP444,1,3,0.9230769230769231,0.758264309602908
97,LTP444,2,3,0.9737654320987654,0.8839489874011988
98,LTP444,3,3,0.9870061409879092,0.9257058417539161
99,LTP444,1,4,0.9326923076923077,0.7678796942182926
100,LTP444,2,4,0.9748677248677249,0.8850512801701582
101,LTP444,3,4,0.9810543030953659,0.9197540038613728
102,LTP444,1,5,0.9653846153846154,0.8005720019106003
103,LTP444,2,5,0.9774572649572649,0.8876408202596983
104,LTP444,3,5,1.0,0.938699700766007
105,LTP444,1,6,0.9652777777777778,0.8004651643037627
106,LTP444,2,6,0.9748971193415638,0.8850806746439971
107,LTP444,3,6,0.9864440828063119,0.9251437835723189
108,LTP444,1,7,0.9422398589065255,0.7774272454325104
109,LTP444,2,7,1.0,0.9101835553024333
110,LTP444,3,7,0.9717171241466047,0.9104168249126117
111,LTP444,1,8,0.8976190476190475,0.7328064341450324
112,LTP444,2,8,0.978042328042328,0.8882258833447614
113,LTP444,3,8,1.0,0.938699700766007
114,LTP444,1,9,0.9876543209876544,0.8228417075136393
115,LTP444,2,9,0.9693562610229277,0.879539816325361
116,LTP444,3,9,0.9848220769789398,0.9235217777449467
117,LTP445,1,0,0.6037037037037037,0.7432223968517361
118,LTP445,2,0,0.7944444444444444,0.8402014449345205
119,LTP445,3,0,0.86644842881513,0.878345232424552
120,LTP445,1,1,0.7193333333333334,0.8588520264813657
121,LTP445,2,1,0.9031158142269253,0.9488728147170015
122,LTP445,3,1,0.9260078702846161,0.9379046738940381
123,LTP445,1,2,0.41721611721611723,0.5567348103641496
124,LTP445,2,2,0.8064814814814815,0.8522384819715576
125,LTP445,3,2,0.893615286279545,0.905512089888967
126,LTP445,1,3,0.5442680776014109,0.6837867707494433
127,LTP445,2,3,0.828233392122281,0.8739903926123571
128,LTP445,3,3,0.9284068181330786,0.9403036217425006
129,LTP445,1,4,0.483974358974359,0.6234930521223914
130,LTP445,2,4,0.6437683715461494,0.6895253720362255
131,LTP445,3,4,0.8893191384161456,0.9012159420255677
132,LTP445,1,5,0.6944444444444445,0.8339631375924769
133,LTP445,2,5,0.8479838063171395,0.8937408068072157
134,LTP445,3,5,0.9254597900538734,0.9373565936632954
135,LTP445,1,6,0.6233516483516482,0.7628703414996806
136,LTP445,2,6,0.8914462081128748,0.9372032086029509
137,LTP445,3,6,0.9341449575281705,0.9460417611375925
138,LTP445,1,7,0.7473333333333333,0.8868520264813656
